generator,benchmark,episodes,tau_tmp,accepted_count,coverage,gate_fallback_rate,conditional_degradation_risk,selected_miou,baseline_miou,gain_over_baseline,ndr
PerSAM-F-compatible,FSS-1000,7200,0.00036609324351324717,195,0.027083333333333334,0.8093055555555555,0.41025641025641024,0.8581412064431222,0.8578307747619369,0.0003104316811853396,0.9888888888888889
PerSAM-F-compatible,FSS-1000,7200,0.0003741390096825026,202,0.028055555555555556,0.8083333333333333,0.41089108910891087,0.8581412625708293,0.8578307747619369,0.00031048780889250313,0.9884722222222222
PerSAM-F-compatible,FSS-1000,7200,0.00038494519552549725,209,0.029027777777777777,0.8073611111111111,0.41626794258373206,0.8581411354804812,0.8578307747619369,0.0003103607185443654,0.9879166666666667
PerSAM-F-compatible,FSS-1000,7200,0.00039173474769908236,216,0.03,0.8063888888888889,0.41203703703703703,0.8582480363032664,0.8578307747619369,0.0004172615413295309,0.9876388888888888
PerSAM-F-compatible,FSS-1000,7200,0.0003981372718322887,223,0.030972222222222224,0.8054166666666667,0.4125560538116592,0.8582480231074603,0.8578307747619369,0.00041724834552345154,0.9872222222222222
PerSAM-F-compatible,FSS-1000,7200,0.0004055643263400732,231,0.03208333333333333,0.8043055555555556,0.4069264069264069,0.8583171270686499,0.8578307747619369,0.0004863523067130396,0.9869444444444444
PerSAM-F-compatible,FSS-1000,7200,0.00040908674193555484,238,0.03305555555555555,0.8033333333333333,0.40756302521008403,0.8583165219242154,0.8578307747619369,0.00048574716227853433,0.9865277777777778
PerSAM-F-compatible,FSS-1000,7200,0.00041796074740058813,245,0.034027777777777775,0.8023611111111111,0.4122448979591837,0.8583164855653821,0.8578307747619369,0.0004857108034452214,0.9859722222222222
PerSAM-F-compatible,FSS-1000,7200,0.00042199973445848085,252,0.035,0.8013888888888889,0.4126984126984127,0.8583164674687497,0.8578307747619369,0.00048569270681279376,0.9855555555555555
PerSAM-F-compatible,FSS-1000,7200,0.0004314616402448191,259,0.035972222222222225,0.8004166666666667,0.416988416988417,0.8583164953504779,0.8578307747619369,0.000485720588541072,0.985
PerSAM-F-compatible,FSS-1000,7200,0.0004361496870693557,267,0.037083333333333336,0.7993055555555556,0.42696629213483145,0.8583162897724025,0.8578307747619369,0.00048551501046555713,0.9841666666666666
PerSAM-F-compatible,FSS-1000,7200,0.00044181698843186347,274,0.03805555555555556,0.7983333333333333,0.4306569343065693,0.8583873512080754,0.8578307747619369,0.000556576446138529,0.9836111111111111
PerSAM-F-compatible,FSS-1000,7200,0.00045137069532015213,281,0.03902777777777778,0.7973611111111111,0.4377224199288256,0.8583921683312898,0.8578307747619369,0.0005613935693529328,0.9829166666666667
PerSAM-F-compatible,FSS-1000,7200,0.0004546296052813314,288,0.04,0.7963888888888889,0.4479166666666667,0.8583919501865683,0.8578307747619369,0.0005611754246314778,0.9820833333333333
PerSAM-F-compatible,FSS-1000,7200,0.00046566549403536165,295,0.04097222222222222,0.7954166666666667,0.4440677966101695,0.8583921520145184,0.8578307747619369,0.0005613772525814257,0.9818055555555556
PerSAM-F-compatible,FSS-1000,7200,0.0004828537478245687,303,0.042083333333333334,0.7943055555555556,0.44884488448844884,0.8583921347540066,0.8578307747619369,0.0005613599920697094,0.9811111111111112
PerSAM-F-compatible,FSS-1000,7200,0.0004939383431519675,310,0.043055555555555555,0.7933333333333333,0.4483870967741935,0.8584544908568044,0.8578307747619369,0.0006237160948674295,0.9806944444444444
PerSAM-F-compatible,FSS-1000,7200,0.0005065579180330593,317,0.04402777777777778,0.7923611111111111,0.444794952681388,0.8584547129503335,0.8578307747619369,0.000623938188396601,0.9804166666666667
PerSAM-F-compatible,FSS-1000,7200,0.0005125107344184241,324,0.045,0.7913888888888889,0.44753086419753085,0.8584716899840148,0.8578307747619369,0.0006409152220779409,0.9798611111111111
PerSAM-F-compatible,FSS-1000,7200,0.0005162136560325681,331,0.04597222222222222,0.7904166666666667,0.4471299093655589,0.8584702011262157,0.8578307747619369,0.0006394263642788346,0.9794444444444445
PerSAM-F-compatible,FSS-1000,7200,0.0005252098018738077,339,0.04708333333333333,0.7893055555555556,0.4424778761061947,0.8584702391076199,0.8578307747619369,0.0006394643456830332,0.9791666666666666
PerSAM-F-compatible,FSS-1000,7200,0.0005319723056434,346,0.04805555555555555,0.7883333333333333,0.44508670520231214,0.8584700858243418,0.8578307747619369,0.0006393110624048859,0.9786111111111111
PerSAM-F-compatible,FSS-1000,7200,0.0005402284813599334,353,0.04902777777777778,0.7873611111111111,0.45042492917847027,0.858470021716235,0.8578307747619369,0.0006392469542980608,0.9779166666666667
PerSAM-F-compatible,FSS-1000,7200,0.0005469950290015874,361,0.050138888888888886,0.78625,0.44598337950138506,0.8585006858180471,0.8578307747619369,0.0006699110561102214,0.9776388888888888
PerSAM-F-compatible,FSS-1000,7200,0.0005515590379239666,368,0.051111111111111114,0.7852777777777777,0.4483695652173913,0.8584909728934872,0.8578307747619369,0.0006601981315503104,0.9770833333333333
PerSAM-F-compatible,FSS-1000,7200,0.0005568702266694903,376,0.052222222222222225,0.7841666666666667,0.4441489361702128,0.858491074312446,0.8578307747619369,0.0006602995505090803,0.9768055555555556
PerSAM-F-compatible,FSS-1000,7200,0.0005718903333579848,383,0.05319444444444445,0.7831944444444444,0.4412532637075718,0.8584912929787081,0.8578307747619369,0.0006605182167711771,0.9765277777777778
PerSAM-F-compatible,FSS-1000,7200,0.0005808263441992857,390,0.05416666666666667,0.7822222222222223,0.441025641025641,0.8584922862487211,0.8578307747619369,0.0006615114867842446,0.9761111111111112
PerSAM-F-compatible,FSS-1000,7200,0.0005878729251041104,397,0.05513888888888889,0.78125,0.4433249370277078,0.8584922562725519,0.8578307747619369,0.0006614815106149763,0.9755555555555555
PerSAM-F-compatible,FSS-1000,7200,0.0005950165817672826,404,0.05611111111111111,0.7802777777777777,0.4430693069306931,0.8584922687564136,0.8578307747619369,0.0006614939944766876,0.9751388888888889
PerSAM-F-compatible,FSS-1000,7200,0.0006017550524060342,411,0.05708333333333333,0.7793055555555556,0.45012165450121655,0.8584921890186443,0.8578307747619369,0.0006614142567074547,0.9743055555555555
PerSAM-F-compatible,FSS-1000,7200,0.0006111784124245989,419,0.058194444444444444,0.7781944444444444,0.4439140811455847,0.8585638037758245,0.8578307747619369,0.0007330290138876686,0.9741666666666666
PerSAM-F-compatible,FSS-1000,7200,0.0006197846572224668,426,0.059166666666666666,0.7772222222222223,0.44366197183098594,0.8585637071252373,0.8578307747619369,0.0007329323633004808,0.97375
PerSAM-F-compatible,FSS-1000,7200,0.0006334103196912577,433,0.06013888888888889,0.77625,0.4457274826789838,0.8585241432135808,0.8578307747619369,0.0006933684516439422,0.9731944444444445
PerSAM-F-compatible,FSS-1000,7200,0.0006416337535613459,440,0.06111111111111111,0.7752777777777777,0.4431818181818182,0.8585242274465337,0.8578307747619369,0.0006934526845968018,0.9729166666666667
PerSAM-F-compatible,FSS-1000,7200,0.0006468640613207605,447,0.06208333333333333,0.7743055555555556,0.43847874720357943,0.8585245648419368,0.8578307747619369,0.0006937900799999221,0.9727777777777777
PerSAM-F-compatible,FSS-1000,7200,0.0006536754593148325,455,0.06319444444444444,0.7731944444444444,0.43956043956043955,0.858533580864023,0.8578307747619369,0.0007028061020860656,0.9722222222222222
PerSAM-F-compatible,FSS-1000,7200,0.0006650736683446779,462,0.06416666666666666,0.7722222222222223,0.4393939393939394,0.8585337496362303,0.8578307747619369,0.0007029748742934318,0.9718055555555556
PerSAM-F-compatible,FSS-1000,7200,0.0006746818157876824,469,0.06513888888888889,0.77125,0.44349680170575695,0.8585336864553068,0.8578307747619369,0.0007029116933699697,0.9711111111111111
PerSAM-F-compatible,FSS-1000,7200,0.0006824161552326513,476,0.0661111111111111,0.7702777777777777,0.44537815126050423,0.8587047196708348,0.8578307747619369,0.0008739449088979099,0.9705555555555555
PerSAM-F-compatible,FSS-1000,7200,0.0006967479264762273,483,0.06708333333333333,0.7693055555555556,0.4409937888198758,0.8586637664369967,0.8578307747619369,0.0008329916750598285,0.9704166666666667
PerSAM-F-compatible,FSS-1000,7200,0.0007081762345137366,491,0.06819444444444445,0.7681944444444444,0.439918533604888,0.8586642434480019,0.8578307747619369,0.0008334686860649121,0.97
PerSAM-F-compatible,FSS-1000,7200,0.0007156580755077822,498,0.06916666666666667,0.7672222222222222,0.44176706827309237,0.8586606777408613,0.8578307747619369,0.0008299029789244134,0.9694444444444444
PerSAM-F-compatible,FSS-1000,7200,0.0007297865797194382,505,0.07013888888888889,0.76625,0.4376237623762376,0.8586769919212222,0.8578307747619369,0.0008462171592853135,0.9693055555555555
PerSAM-F-compatible,FSS-1000,7200,0.0007410934199107885,512,0.07111111111111111,0.7652777777777777,0.439453125,0.8587033121319837,0.8578307747619369,0.0008725373700468077,0.96875
PerSAM-F-compatible,FSS-1000,7200,0.0007486239192016609,519,0.07208333333333333,0.7643055555555556,0.4393063583815029,0.8587042507064567,0.8578307747619369,0.0008734759445198708,0.9683333333333334
PerSAM-F-compatible,FSS-1000,7200,0.0007605069917127424,527,0.07319444444444445,0.7631944444444444,0.44212523719165087,0.8587042417905953,0.8578307747619369,0.0008734670286584231,0.9676388888888889
PerSAM-F-compatible,FSS-1000,7200,0.0007679848058579269,534,0.07416666666666667,0.7622222222222222,0.4419475655430712,0.8587043009482053,0.8578307747619369,0.0008735261862683627,0.9672222222222222
PerSAM-F-compatible,FSS-1000,7200,0.0007764735301556899,541,0.0751388888888889,0.76125,0.44731977818853974,0.8587020424992402,0.8578307747619369,0.000871267737303343,0.9663888888888889
