fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,original_fallback,original_delta_vs_baseline,original_delta_vs_original,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_baseline,support_fg_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_baseline,support_decoder_fg_delta_vs_original
1,fold1:724_class-7,724_class-7,0.63540900,0.63540900,0,1,0,0.00000000,0.00000000,0.63540900,0,0,1,0.00000000,0.00000000,0.63540900,0,0,1,0.00000000,0.00000000
1,fold1:725_class-7,725_class-7,0.62542093,0.93189836,2,1,0,0.30647743,0.00000000,0.93189836,2,0,1,0.30647743,0.00000000,0.93189836,2,0,1,0.30647743,0.00000000
1,fold1:726_class-9,726_class-9,0.87179303,0.84867346,4,0,0,-0.02311957,0.00000000,0.84867346,4,0,0,-0.02311957,0.00000000,0.84867346,4,0,0,-0.02311957,0.00000000
1,fold1:727_class-7,727_class-7,0.95296270,0.37950927,4,0,0,-0.57345343,0.00000000,0.95296270,0,1,1,0.00000000,0.57345343,0.95296270,0,1,1,0.00000000,0.57345343
1,fold1:728_class-6,728_class-6,0.99663889,0.96559054,5,0,0,-0.03104836,0.00000000,0.99663889,0,1,1,0.00000000,0.03104836,0.99663889,0,1,1,0.00000000,0.03104836
1,fold1:729_class-9,729_class-9,0.99952042,0.68455994,3,0,0,-0.31496048,0.00000000,0.68455994,3,0,0,-0.31496048,0.00000000,0.68455994,3,0,0,-0.31496048,0.00000000
1,fold1:730_class-9,730_class-9,0.96229708,0.91908002,2,0,0,-0.04321706,0.00000000,0.91908002,2,0,0,-0.04321706,0.00000000,0.91908002,2,0,0,-0.04321706,0.00000000
1,fold1:731_class-7,731_class-7,0.58960015,0.58130306,3,0,0,-0.00829709,0.00000000,0.58960015,0,1,1,0.00000000,0.00829709,0.58960015,0,1,1,0.00000000,0.00829709
1,fold1:732_class-5,732_class-5,0.99670231,0.96496522,5,0,0,-0.03173709,0.00000000,0.99670231,0,1,1,0.00000000,0.03173709,0.99670231,0,1,1,0.00000000,0.03173709
1,fold1:733_class-7,733_class-7,0.99909502,0.91876364,5,0,0,-0.08033139,0.00000000,0.91876364,5,0,0,-0.08033139,0.00000000,0.91876364,5,0,0,-0.08033139,0.00000000
