generator,benchmark,num_episodes,threshold,accepted_count,coverage,degradation_count,conditional_degradation_risk,conditional_excess_miou_loss,conditional_mean_delta_miou,mean_baseline_miou,overall_selected_miou,overall_gain_over_baseline,overall_ndr,baseline_output_rate,gate_fallback_rate,maximum_refinement_coverage,is_default_tau,is_original_endpoint
Matcher,FSS-1000,2400,-0.002505958080291748,1577,0.6570833333333334,629,0.398858592263792,0.004404889205889983,0.03336516621899977,0.884484056958269,0.9064077515946701,0.0219236946364011,0.7379166666666667,0.34291666666666665,0.17458333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0025309324264526367,1578,0.6575,629,0.39860583016476553,0.004402097767863437,0.033344251009563626,0.884484056958269,0.9064079019970571,0.02192384503878808,0.7379166666666667,0.3425,0.17416666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0025316476821899414,1579,0.6579166666666667,630,0.3989867004433186,0.004399425526485178,0.03332301802689031,0.884484056958269,0.9064078259017939,0.02192376894352492,0.7375,0.3420833333333333,0.17375,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0025467872619628906,1580,0.6583333333333333,631,0.39936708860759496,0.004396727393510975,0.03330184119559023,0.884484056958269,0.9064077690786992,0.021923712120430233,0.7370833333333333,0.3416666666666667,0.17333333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0025637149810791016,1581,0.65875,631,0.3991144845034788,0.004393946414767451,0.03328155868190148,0.884484056958269,0.9064082837399716,0.0219242267817026,0.7370833333333333,0.34125000000000005,0.17291666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0025658607482910156,1582,0.6591666666666667,632,0.3994943109987358,0.00439215288055983,0.033259537105428526,0.884484056958269,0.9064076351669307,0.02192357820866164,0.7366666666666667,0.3408333333333333,0.1725,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0025888681411743164,1583,0.6595833333333333,633,0.3998736576121289,0.0043916801815536005,0.03323622478233369,0.884484056958269,0.9064061168876166,0.021922059929347596,0.7362500000000001,0.3404166666666667,0.17208333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0026280879974365234,1584,0.66,634,0.40025252525252525,0.004389662987016367,0.03321448698636342,0.884484056958269,0.9064056183692689,0.02192156141099986,0.7358333333333333,0.33999999999999997,0.17166666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0026507973670959473,1585,0.6604166666666667,634,0.4,0.004386893483554527,0.03319652358963145,0.884484056958269,0.9064075944122548,0.021923537453985772,0.7358333333333333,0.33958333333333335,0.17125,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0026526451110839844,1586,0.6608333333333334,634,0.39974779319041615,0.0043841274725308485,0.03326643449207357,0.884484056958269,0.906467625751781,0.02198356879351195,0.7358333333333333,0.3391666666666666,0.17083333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002665579319000244,1587,0.66125,635,0.4001260239445495,0.004381746649929917,0.03324509095300808,0.884484056958269,0.9064673733509456,0.021983316392676595,0.7354166666666666,0.33875,0.17041666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002690255641937256,1588,0.6616666666666666,635,0.3998740554156171,0.0043789873636264345,0.03322467343179129,0.884484056958269,0.9064677158789709,0.021983658920701903,0.7354166666666666,0.3383333333333334,0.17,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.00269317626953125,1589,0.6620833333333334,635,0.3996224040276904,0.004376231550307601,0.03320795481572077,0.884484056958269,0.9064704903758442,0.021986433417575123,0.7354166666666666,0.33791666666666664,0.16958333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0027233362197875977,1590,0.6625,636,0.4,0.004373578956854418,0.033186969556113555,0.884484056958269,0.9064704242891942,0.021986367330925228,0.735,0.3375,0.16916666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002725064754486084,1591,0.6629166666666667,637,0.40037712130735387,0.004371813989562257,0.03316512638480548,0.884484056958269,0.906469771990863,0.02198571503259397,0.7345833333333334,0.3370833333333333,0.16875,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0027306079864501953,1592,0.6633333333333333,637,0.4001256281407035,0.004369067875247205,0.0331455642868175,0.884484056958269,0.906470614601858,0.021986557643588943,0.7345833333333334,0.33666666666666667,0.16833333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002743661403656006,1593,0.66375,638,0.4005021971123666,0.004405768217527111,0.03308531426960849,0.884484056958269,0.9064444343047217,0.021960377346452637,0.7341666666666666,0.33625000000000005,0.16791666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0027538537979125977,1594,0.6641666666666667,638,0.4002509410288582,0.004403004247503567,0.03306478019038372,0.884484056958269,0.9064445818013822,0.021960524843113186,0.7341666666666666,0.3358333333333333,0.1675,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002778172492980957,1595,0.6645833333333333,638,0.4,0.004400243743273158,0.033046271922037615,0.884484056958269,0.9064460585064565,0.021962001548187497,0.7341666666666666,0.3354166666666667,0.16708333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0027801990509033203,1596,0.665,639,0.40037593984962405,0.004397798352933169,0.033025254583264,0.884484056958269,0.9064458512561396,0.021961794297870558,0.73375,0.33499999999999996,0.16666666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0027895569801330566,1597,0.6654166666666667,639,0.4001252348152787,0.004395044565611357,0.03300474607575225,0.884484056958269,0.9064459650761758,0.02196190811790681,0.73375,0.33458333333333334,0.16625,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0027992725372314453,1599,0.66625,639,0.399624765478424,0.0043895473241284165,0.03296648140319899,0.884484056958269,0.9064479751931503,0.021963918234881325,0.73375,0.33375,0.16541666666666666,0.8316666666666667,0,0
