obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
237_class-0,5,0.5657427907,0.6229552031,0.6265181899,5,0.5657427907,0.6229552031,0.6265181899,0.0000000000,-0.0572124124,-0.0572124124,0,0,,COCO-20i,False,False,0.0000000000
238_class-44,1,0.8625546694,0.8601262569,0.8625546694,1,0.8625546694,0.8601262569,0.8625546694,0.0000000000,0.0024284124,0.0024284124,1,1,,COCO-20i,False,False,0.0000000000
239_class-12,4,0.9626940489,0.9631171227,0.9635432959,0,0.9631171227,0.9631171227,0.9635432959,0.0004230738,-0.0004230738,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
240_class-56,4,0.2940978110,0.2465181947,0.3017266393,4,0.2940978110,0.2465181947,0.3017266393,0.0000000000,0.0475796163,0.0475796163,1,1,,COCO-20i,False,False,0.0000000000
241_class-64,0,0.9624466896,0.9624466896,0.9661519527,0,0.9624466896,0.9624466896,0.9661519527,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
242_class-0,4,0.8711004853,0.8750930429,0.8861213923,4,0.8711004853,0.8750930429,0.8861213923,0.0000000000,-0.0039925575,-0.0039925575,0,0,,COCO-20i,False,False,0.0000000000
243_class-48,3,0.3686214089,0.2328782678,0.3891665936,0,0.2328782678,0.2328782678,0.3891665936,-0.1357431412,0.1357431412,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
244_class-32,2,0.7685210705,0.9146504402,0.9146504402,0,0.9146504402,0.9146504402,0.9146504402,0.1461293697,-0.1461293697,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
245_class-60,4,0.3201977909,0.3211334050,0.3260569274,0,0.3211334050,0.3211334050,0.3260569274,0.0009356141,-0.0009356141,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
246_class-4,0,0.6989304423,0.6989304423,0.9215849042,0,0.6989304423,0.6989304423,0.9215849042,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
247_class-8,2,0.9400855303,0.9002099037,0.9400855303,0,0.9002099037,0.9002099037,0.9400855303,-0.0398756266,0.0398756266,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
248_class-44,3,0.7697587609,0.8894133568,0.8932732940,3,0.7697587609,0.8894133568,0.8932732940,0.0000000000,-0.1196545959,-0.1196545959,0,0,,COCO-20i,False,False,0.0000000000
249_class-8,5,0.7837693691,0.6928364038,0.8117661476,5,0.7837693691,0.6928364038,0.8117661476,0.0000000000,0.0909329653,0.0909329653,1,1,,COCO-20i,False,False,0.0000000000
250_class-72,0,0.5465557575,0.5465557575,0.5465557575,0,0.5465557575,0.5465557575,0.5465557575,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
