benchmark,seed,fold,method,obj_name,baseline_miou,selected_miou,selected_iter,fallback,non_degraded,oracle_miou
FSS-1000,42,0,original,110_class-771,0.8410611153,0.9253125191,5,0,1,0.9253125191
FSS-1000,42,0,original,111_class-771,0.0663927346,0.9631453753,1,0,1,0.9631453753
FSS-1000,42,0,original,112_class-771,0.6763493419,0.8318346739,4,0,1,0.9313177466
FSS-1000,42,0,original,113_class-771,0.0259828996,0.9579021335,4,0,1,0.9592494965
FSS-1000,42,0,original,114_class-771,0.9003245234,0.9005964994,4,0,1,0.9006777406
FSS-1000,42,0,original,115_class-771,0.5611333251,0.5617846847,5,0,1,0.9262334108
FSS-1000,42,0,original,116_class-771,0.8150486946,0.8149324656,5,0,0,0.8150486946
FSS-1000,42,0,original,117_class-771,0.8865824342,0.8865824342,0,0,1,0.9651391506
FSS-1000,42,0,original,118_class-771,0.8002623320,0.9332349896,1,0,1,0.9332349896
FSS-1000,42,0,original,119_class-771,0.9690268040,0.9688963294,2,0,0,0.9690268040
FSS-1000,42,0,original,120_class-772,0.9894388914,0.9887713194,4,0,0,0.9894788265
FSS-1000,42,0,original,121_class-772,0.9806771278,0.9807025790,2,0,1,0.9808094501
FSS-1000,42,0,original,122_class-772,0.0135012027,0.0122279618,4,0,0,0.0141156605
FSS-1000,42,0,original,123_class-772,0.9872020483,0.9873729944,1,0,1,0.9875656366
FSS-1000,42,0,original,124_class-772,0.7952493429,0.7954039574,4,0,1,0.7956120372
FSS-1000,42,0,original,125_class-772,0.9912884235,0.9916840196,4,0,1,0.9920113087
FSS-1000,42,0,original,126_class-772,0.9914168119,0.9912947416,4,0,0,0.9914326072
FSS-1000,42,0,original,127_class-772,0.1308443844,0.1307958961,3,0,0,0.1308443844
FSS-1000,42,0,original,128_class-772,0.9809260368,0.9809260368,0,0,1,0.9821257591
FSS-1000,42,0,original,129_class-772,0.0124112051,0.0123883439,3,0,0,0.0143365841
FSS-1000,42,0,original,130_class-773,0.0166962333,0.9028472900,4,0,1,0.9028472900
FSS-1000,42,0,original,131_class-773,0.9000011683,0.4578202963,1,0,0,0.9000011683
FSS-1000,42,0,original,132_class-773,0.7729682922,0.7729682922,0,0,1,0.8314862251
FSS-1000,42,0,original,133_class-773,0.9323314428,0.9325121641,4,0,1,0.9336117506
FSS-1000,42,0,original,134_class-773,0.9844956398,0.9843708277,5,0,0,0.9844964147
FSS-1000,42,0,original,135_class-773,0.9399981499,0.9403821230,2,0,1,0.9406046867
FSS-1000,42,0,original,136_class-773,0.1153593808,0.9381139874,2,0,1,0.9389725924
FSS-1000,42,0,original,137_class-773,0.9801836014,0.9798993468,4,0,0,0.9817215204
