generator,benchmark,seed,fold,obj_name,proposal_iter,proposal_nonbaseline,baseline_miou,proposal_miou,proposal_delta_miou,support_margin,foreground_margin,gate_margin,proposal_degraded,source_file
PerSAM-F-compatible,FSS-1000,44,0,540_class-814,2,1,0.978723406791687,0.9781664609909058,-0.00055694580078125,3.319978713989258e-05,9.483098983764648e-05,3.319978713989258e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,541_class-814,1,1,0.6330642700195312,0.6322554349899292,-0.0008088350296020508,-3.9637088775634766e-05,0.0019111037254333496,-3.9637088775634766e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,542_class-814,2,1,0.9749611616134644,0.9760870337486267,0.0011258721351623535,3.4570693969726562e-06,9.959936141967773e-05,3.4570693969726562e-06,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,543_class-814,2,1,0.9902698397636414,0.9900541305541992,-0.00021570920944213867,-2.3484230041503906e-05,-0.00010192394256591797,-0.00010192394256591797,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,544_class-814,4,1,0.9919356107711792,0.9919991493225098,6.35385513305664e-05,1.627206802368164e-05,0.00014024972915649414,1.627206802368164e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,545_class-814,2,1,0.9912219047546387,0.9911423921585083,-7.95125961303711e-05,2.86102294921875e-05,0.00010758638381958008,2.86102294921875e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,546_class-814,2,1,0.7101335525512695,0.9722522497177124,0.26211869716644287,-0.0038869380950927734,0.24205154180526733,-0.0038869380950927734,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,547_class-814,0,0,0.978807806968689,0.978807806968689,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,548_class-814,5,1,0.9652351140975952,0.9650566577911377,-0.00017845630645751953,9.417533874511719e-05,0.00038427114486694336,9.417533874511719e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,549_class-814,5,1,0.9636276960372925,0.9635717868804932,-5.5909156799316406e-05,1.8358230590820312e-05,0.0011913776397705078,1.8358230590820312e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
