sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed43:242_class-0,43,242_class-0,0.87896198,0.87931907,0.87896198,3,0,1,1,1,-0.00035709,0.00035709,0.00000000
seed43:243_class-48,43,243_class-48,0.06229099,0.13110058,0.13110058,5,5,0,1,1,0.00000000,0.06880959,0.06880959
seed43:244_class-32,43,244_class-32,0.68568516,0.82755172,0.82755172,2,2,0,1,1,0.00000000,0.14186656,0.14186656
seed43:245_class-60,43,245_class-60,0.13644311,0.13623782,0.13623782,2,2,0,0,0,0.00000000,-0.00020529,-0.00020529
seed43:246_class-4,43,246_class-4,0.13273916,0.13272287,0.13273916,5,0,1,0,1,0.00001629,-0.00001629,0.00000000
seed43:247_class-8,43,247_class-8,0.93113863,0.93113863,0.93113863,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:248_class-44,43,248_class-44,0.45570838,0.45576057,0.45576057,1,1,0,1,1,0.00000000,0.00005218,0.00005218
seed43:249_class-8,43,249_class-8,0.84441876,0.84796888,0.84441876,3,0,1,1,1,-0.00355011,0.00355011,0.00000000
seed43:250_class-72,43,250_class-72,0.34524867,0.43656364,0.34524867,1,0,1,1,1,-0.09131497,0.09131497,0.00000000
seed43:251_class-8,43,251_class-8,0.55246669,0.55246669,0.55246669,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:252_class-56,43,252_class-56,0.48399127,0.48853624,0.48853624,2,2,0,1,1,0.00000000,0.00454497,0.00454497
seed43:253_class-72,43,253_class-72,0.45775443,0.45846626,0.45846626,5,5,0,1,1,0.00000000,0.00071183,0.00071183
seed43:254_class-64,43,254_class-64,0.38554323,0.43188271,0.43188271,5,5,0,1,1,0.00000000,0.04633948,0.04633948
seed43:255_class-20,43,255_class-20,0.95321375,0.95321375,0.95321375,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:256_class-32,43,256_class-32,0.47078890,0.47677621,0.47677621,4,4,0,1,1,0.00000000,0.00598732,0.00598732
seed43:257_class-48,43,257_class-48,0.18342075,0.64935023,0.64935023,5,5,0,1,1,0.00000000,0.46592948,0.46592948
seed43:258_class-68,43,258_class-68,0.44522852,0.46807590,0.46807590,4,4,0,1,1,0.00000000,0.02284738,0.02284738
seed43:259_class-64,43,259_class-64,0.77791476,0.98204362,0.98204362,3,3,0,1,1,0.00000000,0.20412886,0.20412886
seed43:260_class-52,43,260_class-52,0.69202858,0.60676843,0.60676843,3,3,0,0,0,0.00000000,-0.08526015,-0.08526015
seed43:261_class-8,43,261_class-8,0.06897805,0.06922606,0.06922606,4,4,0,1,1,0.00000000,0.00024801,0.00024801
seed43:262_class-44,43,262_class-44,0.45273998,0.45274556,0.45273998,5,0,1,1,1,-0.00000557,0.00000557,0.00000000
seed43:263_class-44,43,263_class-44,0.93221366,0.93221366,0.93221366,0,0,0,1,1,0.00000000,0.00000000,0.00000000
