fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_original,support_fg_delta_vs_baseline,support_fg_ndr_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_original,support_decoder_fg_delta_vs_baseline,support_decoder_fg_ndr_delta_vs_original
0,fold0:132_class-0,132_class-0,0.99026054,0.73440540,1,0,0.73440540,1,0,0,0.00000000,-0.25585514,0,0.73440540,1,0,0,0.00000000,-0.25585514,0
0,fold0:133_class-2,133_class-2,0.40263420,0.95352280,1,1,0.95352280,1,0,1,0.00000000,0.55088860,0,0.95352280,1,0,1,0.00000000,0.55088860,0
0,fold0:134_class-1,134_class-1,0.41173658,0.35013643,3,0,0.41173658,0,1,1,0.06160015,0.00000000,1,0.41173658,0,1,1,0.06160015,0.00000000,1
0,fold0:135_class-0,135_class-0,0.99915761,0.95081389,3,0,0.99915761,0,1,1,0.04834372,0.00000000,1,0.99915761,0,1,1,0.04834372,0.00000000,1
0,fold0:136_class-3,136_class-3,0.43776771,0.81836295,3,1,0.81836295,3,0,1,0.00000000,0.38059524,0,0.43776771,0,1,1,-0.38059524,0.00000000,0
0,fold0:137_class-0,137_class-0,0.99985719,0.99985719,0,1,0.99985719,0,0,1,0.00000000,0.00000000,0,0.99985719,0,0,1,0.00000000,0.00000000,0
0,fold0:138_class-3,138_class-3,0.93806577,0.88557154,3,0,0.93806577,0,1,1,0.05249423,0.00000000,1,0.93806577,0,1,1,0.05249423,0.00000000,1
0,fold0:139_class-1,139_class-1,0.62870264,0.48522824,1,0,0.62870264,0,1,1,0.14347440,0.00000000,1,0.62870264,0,1,1,0.14347440,0.00000000,1
0,fold0:140_class-3,140_class-3,0.76612800,0.69920534,1,0,0.76612800,0,1,1,0.06692266,0.00000000,1,0.76612800,0,1,1,0.06692266,0.00000000,1
0,fold0:141_class-1,141_class-1,0.71091509,0.65001673,5,0,0.71091509,0,1,1,0.06089836,0.00000000,1,0.71091509,0,1,1,0.06089836,0.00000000,1
0,fold0:142_class-2,142_class-2,0.68626034,0.95263618,5,1,0.95263618,5,0,1,0.00000000,0.26637584,0,0.95263618,5,0,1,0.00000000,0.26637584,0
0,fold0:143_class-2,143_class-2,0.30476126,0.29155985,2,0,0.30476126,0,1,1,0.01320142,0.00000000,1,0.30476126,0,1,1,0.01320142,0.00000000,1
0,fold0:144_class-3,144_class-3,0.63166481,0.66243589,5,1,0.63166481,0,1,1,-0.03077108,0.00000000,0,0.63166481,0,1,1,-0.03077108,0.00000000,0
0,fold0:145_class-3,145_class-3,0.60532641,0.48701203,5,0,0.48701203,5,0,0,0.00000000,-0.11831439,0,0.48701203,5,0,0,0.00000000,-0.11831439,0
0,fold0:146_class-4,146_class-4,0.90831733,0.93738747,4,1,0.93738747,4,0,1,0.00000000,0.02907014,0,0.93738747,4,0,1,0.00000000,0.02907014,0
0,fold0:147_class-2,147_class-2,0.97996497,0.94682276,2,0,0.97996497,0,1,1,0.03314221,0.00000000,1,0.97996497,0,1,1,0.03314221,0.00000000,1
0,fold0:148_class-2,148_class-2,0.89029938,0.85519236,1,0,0.89029938,0,1,1,0.03510702,0.00000000,1,0.89029938,0,1,1,0.03510702,0.00000000,1
0,fold0:149_class-2,149_class-2,0.99710083,0.99710083,0,1,0.99710083,0,0,1,0.00000000,0.00000000,0,0.99710083,0,0,1,0.00000000,0.00000000,0
0,fold0:150_class-2,150_class-2,0.42593116,0.93162167,3,1,0.93162167,3,0,1,0.00000000,0.50569052,0,0.42593116,0,1,1,-0.50569052,0.00000000,0
0,fold0:151_class-2,151_class-2,0.99916261,0.99916261,0,1,0.99916261,0,0,1,0.00000000,0.00000000,0,0.99916261,0,0,1,0.00000000,0.00000000,0
0,fold0:152_class-1,152_class-1,0.58246678,0.58246678,0,1,0.58246678,0,0,1,0.00000000,0.00000000,0,0.58246678,0,0,1,0.00000000,0.00000000,0
0,fold0:153_class-4,153_class-4,0.38374853,0.59443212,2,1,0.59443212,2,0,1,0.00000000,0.21068358,0,0.38374853,0,1,1,-0.21068358,0.00000000,0
0,fold0:154_class-2,154_class-2,0.02535373,0.92391801,4,1,0.92391801,4,0,1,0.00000000,0.89856428,0,0.92391801,4,0,1,0.00000000,0.89856428,0
0,fold0:155_class-0,155_class-0,0.99480033,0.94590938,2,0,0.99480033,0,1,1,0.04889095,0.00000000,1,0.99480033,0,1,1,0.04889095,0.00000000,1
0,fold0:156_class-2,156_class-2,0.93684322,0.59467167,5,0,0.59467167,5,0,0,0.00000000,-0.34217155,0,0.59467167,5,0,0,0.00000000,-0.34217155,0
0,fold0:157_class-2,157_class-2,0.63122499,0.93082660,4,1,0.93082660,4,0,1,0.00000000,0.29960161,0,0.93082660,4,0,1,0.00000000,0.29960161,0
